modalidad,image,n_det,conf,has
VIS,APC_1_view_1_fk_06_005,0,0.0,0
VIS,APC_1_view_2_fk_ref_01_005,0,0.0,0
VIS,APC_1_view_3_fk_ref_02_005,0,0.0,0
VIS,APC_3_view_1_fk_bar_06_005,0,0.0,0
VIS,APC_3_view_2_fk_NL_01_005,0,0.0,0
VIS,APC_3_view_3_fk_NL_05_005,0,0.0,0
VIS,Athena_2_men_in_front_of_house_meting003,2,0.44977168420155067,1
VIS,Athena_APC_4_fennek01_005,0,0.0,0
VIS,Athena_heather_hei_vis,0,0.0,0
VIS,Athena_heather_IR_hei_vis_g,0,0.0,0
VIS,Athena_helicopter_helib_011,0,0.0,0
VIS,Athena_lake_lake,0,0.0,0
VIS,Athena_man_in_doorway_maninhuis,1,0.3140072515234351,1
VIS,Athena_soldier_behind_smoke_1_meting012-1200,10,0.562550819205353,1
VIS,Athena_soldier_behind_smoke_2_meting012-1500,12,0.36807358740770724,1
VIS,Athena_soldier_behind_smoke_3_meting012-1700,4,0.21733852161560208,1
VIS,Athena_soldier_in_trench_1_meting016,1,0.676787162781693,1
VIS,Athena_soldier_in_trench_2_meting055,0,0.0,0
VIS,Triclobs_Bosnia_R,0,0.0,0
VIS,Triclobs_jeep_in_smoke_R,0,0.0,0
IR,APC_1_view_1_fk_06_005,0,0.0,0
IR,APC_1_view_2_fk_ref_01_005,0,0.0,0
IR,APC_1_view_3_fk_ref_02_005,0,0.0,0
IR,APC_3_view_1_fk_bar_06_005,0,0.0,0
IR,APC_3_view_2_fk_NL_01_005,0,0.0,0
IR,APC_3_view_3_fk_NL_05_005,0,0.0,0
IR,Athena_2_men_in_front_of_house_meting003,3,0.8125496518332511,1
IR,Athena_APC_4_fennek01_005,0,0.0,0
IR,Athena_heather_hei_vis,0,0.0,0
IR,Athena_heather_IR_hei_vis_g,0,0.0,0
IR,Athena_helicopter_helib_011,1,0.20531240664422512,1
IR,Athena_lake_lake,0,0.0,0
IR,Athena_man_in_doorway_maninhuis,1,0.7955301012843847,1
IR,Athena_soldier_behind_smoke_1_meting012-1200,1,0.3417140212841332,1
IR,Athena_soldier_behind_smoke_2_meting012-1500,1,0.20460830559022725,1
IR,Athena_soldier_behind_smoke_3_meting012-1700,0,0.0,0
IR,Athena_soldier_in_trench_1_meting016,4,0.6651923180615995,1
IR,Athena_soldier_in_trench_2_meting055,2,0.726548004662618,1
IR,Triclobs_Bosnia_R,0,0.0,0
IR,Triclobs_jeep_in_smoke_R,0,0.0,0
Promedio,APC_1_view_1_fk_06_005,0,0.0,0
Promedio,APC_1_view_2_fk_ref_01_005,0,0.0,0
Promedio,APC_1_view_3_fk_ref_02_005,0,0.0,0
Promedio,APC_3_view_1_fk_bar_06_005,0,0.0,0
Promedio,APC_3_view_2_fk_NL_01_005,0,0.0,0
Promedio,APC_3_view_3_fk_NL_05_005,0,0.0,0
Promedio,Athena_2_men_in_front_of_house_meting003,1,1.096853100694716,1
Promedio,Athena_APC_4_fennek01_005,0,0.0,0
Promedio,Athena_heather_hei_vis,0,0.0,0
Promedio,Athena_heather_IR_hei_vis_g,0,0.0,0
Promedio,Athena_helicopter_helib_011,0,0.0,0
Promedio,Athena_lake_lake,0,0.0,0
Promedio,Athena_man_in_doorway_maninhuis,0,0.0,0
Promedio,Athena_soldier_behind_smoke_1_meting012-1200,3,0.027110374299809337,1
Promedio,Athena_soldier_behind_smoke_2_meting012-1500,0,0.0,0
Promedio,Athena_soldier_behind_smoke_3_meting012-1700,0,0.0,0
Promedio,Athena_soldier_in_trench_1_meting016,2,1.2820594160584733,1
Promedio,Athena_soldier_in_trench_2_meting055,1,0.9836152484640479,1
Promedio,Triclobs_Bosnia_R,0,0.0,0
Promedio,Triclobs_jeep_in_smoke_R,0,0.0,0
PiramideLaplace,APC_1_view_1_fk_06_005,0,0.0,0
PiramideLaplace,APC_1_view_2_fk_ref_01_005,0,0.0,0
PiramideLaplace,APC_1_view_3_fk_ref_02_005,0,0.0,0
PiramideLaplace,APC_3_view_1_fk_bar_06_005,0,0.0,0
PiramideLaplace,APC_3_view_2_fk_NL_01_005,0,0.0,0
PiramideLaplace,APC_3_view_3_fk_NL_05_005,0,0.0,0
PiramideLaplace,Athena_2_men_in_front_of_house_meting003,2,0.6022162610897794,1
PiramideLaplace,Athena_APC_4_fennek01_005,0,0.0,0
PiramideLaplace,Athena_heather_hei_vis,0,0.0,0
PiramideLaplace,Athena_heather_IR_hei_vis_g,0,0.0,0
PiramideLaplace,Athena_helicopter_helib_011,1,0.08219966106116772,1
PiramideLaplace,Athena_lake_lake,0,0.0,0
PiramideLaplace,Athena_man_in_doorway_maninhuis,2,0.25783600751310587,1
PiramideLaplace,Athena_soldier_behind_smoke_1_meting012-1200,2,0.10526769518764922,1
PiramideLaplace,Athena_soldier_behind_smoke_2_meting012-1500,3,0.20924177567940205,1
PiramideLaplace,Athena_soldier_behind_smoke_3_meting012-1700,1,0.015963480109348893,1
PiramideLaplace,Athena_soldier_in_trench_1_meting016,1,1.7211608910001814,1
PiramideLaplace,Athena_soldier_in_trench_2_meting055,2,0.27290271082893014,1
PiramideLaplace,Triclobs_Bosnia_R,0,0.0,0
PiramideLaplace,Triclobs_jeep_in_smoke_R,0,0.0,0
TopHat_disk_L5 (anterior),APC_1_view_1_fk_06_005,0,0.0,0
TopHat_disk_L5 (anterior),APC_1_view_2_fk_ref_01_005,0,0.0,0
TopHat_disk_L5 (anterior),APC_1_view_3_fk_ref_02_005,0,0.0,0
TopHat_disk_L5 (anterior),APC_3_view_1_fk_bar_06_005,0,0.0,0
TopHat_disk_L5 (anterior),APC_3_view_2_fk_NL_01_005,0,0.0,0
TopHat_disk_L5 (anterior),APC_3_view_3_fk_NL_05_005,0,0.0,0
TopHat_disk_L5 (anterior),Athena_2_men_in_front_of_house_meting003,1,0.2651165676070377,1
TopHat_disk_L5 (anterior),Athena_APC_4_fennek01_005,0,0.0,0
TopHat_disk_L5 (anterior),Athena_heather_hei_vis,0,0.0,0
TopHat_disk_L5 (anterior),Athena_heather_IR_hei_vis_g,0,0.0,0
TopHat_disk_L5 (anterior),Athena_helicopter_helib_011,0,0.0,0
TopHat_disk_L5 (anterior),Athena_lake_lake,0,0.0,0
TopHat_disk_L5 (anterior),Athena_man_in_doorway_maninhuis,3,-0.0310376004781574,1
TopHat_disk_L5 (anterior),Athena_soldier_behind_smoke_1_meting012-1200,0,0.0,0
TopHat_disk_L5 (anterior),Athena_soldier_behind_smoke_2_meting012-1500,1,-0.017430690117180347,1
TopHat_disk_L5 (anterior),Athena_soldier_behind_smoke_3_meting012-1700,0,0.0,0
TopHat_disk_L5 (anterior),Athena_soldier_in_trench_1_meting016,1,0.9786169696599245,1
TopHat_disk_L5 (anterior),Athena_soldier_in_trench_2_meting055,1,0.5381612656638026,1
TopHat_disk_L5 (anterior),Triclobs_Bosnia_R,0,0.0,0
TopHat_disk_L5 (anterior),Triclobs_jeep_in_smoke_R,0,0.0,0
Optimo_Multiescala (propuesta),APC_1_view_1_fk_06_005,0,0.0,0
Optimo_Multiescala (propuesta),APC_1_view_2_fk_ref_01_005,0,0.0,0
Optimo_Multiescala (propuesta),APC_1_view_3_fk_ref_02_005,0,0.0,0
Optimo_Multiescala (propuesta),APC_3_view_1_fk_bar_06_005,0,0.0,0
Optimo_Multiescala (propuesta),APC_3_view_2_fk_NL_01_005,0,0.0,0
Optimo_Multiescala (propuesta),APC_3_view_3_fk_NL_05_005,0,0.0,0
Optimo_Multiescala (propuesta),Athena_2_men_in_front_of_house_meting003,1,0.7809811981860548,1
Optimo_Multiescala (propuesta),Athena_APC_4_fennek01_005,0,0.0,0
Optimo_Multiescala (propuesta),Athena_heather_hei_vis,0,0.0,0
Optimo_Multiescala (propuesta),Athena_heather_IR_hei_vis_g,0,0.0,0
Optimo_Multiescala (propuesta),Athena_helicopter_helib_011,0,0.0,0
Optimo_Multiescala (propuesta),Athena_lake_lake,0,0.0,0
Optimo_Multiescala (propuesta),Athena_man_in_doorway_maninhuis,1,-0.0019619613885879517,1
Optimo_Multiescala (propuesta),Athena_soldier_behind_smoke_1_meting012-1200,2,0.009867070126347244,1
Optimo_Multiescala (propuesta),Athena_soldier_behind_smoke_2_meting012-1500,1,0.08961403486318886,1
Optimo_Multiescala (propuesta),Athena_soldier_behind_smoke_3_meting012-1700,0,0.0,0
Optimo_Multiescala (propuesta),Athena_soldier_in_trench_1_meting016,2,0.9808341293828562,1
Optimo_Multiescala (propuesta),Athena_soldier_in_trench_2_meting055,1,0.7699253559112549,1
Optimo_Multiescala (propuesta),Triclobs_Bosnia_R,0,0.0,0
Optimo_Multiescala (propuesta),Triclobs_jeep_in_smoke_R,0,0.0,0
