method,image,n_det,n_person,n_vehicle,conf_mean,has_det,ms
VIS,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,1063.4360
IR,APC_1_view_1_fk_06_005,2,1,0,0.2682,1,20.2217
Promedio,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,11.0044
PiramideLaplace,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,8.0841
Curvelet,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,7.5154
TopHat_disk_L5,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,8.1093
Propuesta_Novedosa,APC_1_view_1_fk_06_005,0,0,0,0.0000,0,7.0095
VIS,APC_1_view_2_fk_ref_01_005,2,1,0,0.5212,1,9.4485
IR,APC_1_view_2_fk_ref_01_005,1,0,0,0.3484,1,7.9577
Promedio,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,7.4565
PiramideLaplace,APC_1_view_2_fk_ref_01_005,1,0,0,0.2621,1,8.4984
Curvelet,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,8.4977
TopHat_disk_L5,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,8.0023
Propuesta_Novedosa,APC_1_view_2_fk_ref_01_005,0,0,0,0.0000,0,6.9997
VIS,APC_1_view_3_fk_ref_02_005,2,0,2,0.4476,1,10.1190
IR,APC_1_view_3_fk_ref_02_005,1,0,1,0.3051,1,11.5042
Promedio,APC_1_view_3_fk_ref_02_005,1,0,1,0.4542,1,8.5092
PiramideLaplace,APC_1_view_3_fk_ref_02_005,1,0,1,0.4423,1,8.0838
Curvelet,APC_1_view_3_fk_ref_02_005,1,0,0,0.2867,1,8.0004
TopHat_disk_L5,APC_1_view_3_fk_ref_02_005,1,0,1,0.4681,1,7.1249
Propuesta_Novedosa,APC_1_view_3_fk_ref_02_005,1,0,1,0.4492,1,7.5734
VIS,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,8.7786
IR,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,6.7987
Promedio,APC_3_view_1_fk_bar_06_005,1,0,0,0.2818,1,10.1578
PiramideLaplace,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,7.8061
Curvelet,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,7.6585
TopHat_disk_L5,APC_3_view_1_fk_bar_06_005,0,0,0,0.0000,0,10.7138
Propuesta_Novedosa,APC_3_view_1_fk_bar_06_005,1,0,0,0.3958,1,7.0210
VIS,APC_3_view_2_fk_NL_01_005,0,0,0,0.0000,0,36.7417
IR,APC_3_view_2_fk_NL_01_005,0,0,0,0.0000,0,8.1732
Promedio,APC_3_view_2_fk_NL_01_005,0,0,0,0.0000,0,9.0647
PiramideLaplace,APC_3_view_2_fk_NL_01_005,0,0,0,0.0000,0,9.5098
Curvelet,APC_3_view_2_fk_NL_01_005,0,0,0,0.0000,0,8.9993
TopHat_disk_L5,APC_3_view_2_fk_NL_01_005,0,0,0,0.0000,0,7.3881
Propuesta_Novedosa,APC_3_view_2_fk_NL_01_005,0,0,0,0.0000,0,10.0017
VIS,APC_3_view_3_fk_NL_05_005,1,0,1,0.3131,1,12.2716
IR,APC_3_view_3_fk_NL_05_005,1,0,1,0.2562,1,14.5032
Promedio,APC_3_view_3_fk_NL_05_005,1,0,1,0.3660,1,11.0030
PiramideLaplace,APC_3_view_3_fk_NL_05_005,1,0,1,0.2624,1,10.6585
Curvelet,APC_3_view_3_fk_NL_05_005,0,0,0,0.0000,0,9.0427
TopHat_disk_L5,APC_3_view_3_fk_NL_05_005,1,0,1,0.4523,1,8.9982
Propuesta_Novedosa,APC_3_view_3_fk_NL_05_005,1,0,1,0.3582,1,10.4926
VIS,Athena_2_men_in_front_of_house_meting003,0,0,0,0.0000,0,10.0007
IR,Athena_2_men_in_front_of_house_meting003,3,2,0,0.5215,1,13.1593
Promedio,Athena_2_men_in_front_of_house_meting003,1,1,0,0.8011,1,9.1107
PiramideLaplace,Athena_2_men_in_front_of_house_meting003,1,1,0,0.8223,1,8.0023
Curvelet,Athena_2_men_in_front_of_house_meting003,1,1,0,0.7875,1,7.0055
TopHat_disk_L5,Athena_2_men_in_front_of_house_meting003,1,1,0,0.8268,1,9.0027
Propuesta_Novedosa,Athena_2_men_in_front_of_house_meting003,1,1,0,0.7994,1,7.1206
VIS,Athena_APC_4_fennek01_005,1,0,1,0.2508,1,15.1470
IR,Athena_APC_4_fennek01_005,0,0,0,0.0000,0,11.1065
Promedio,Athena_APC_4_fennek01_005,0,0,0,0.0000,0,10.3333
PiramideLaplace,Athena_APC_4_fennek01_005,0,0,0,0.0000,0,9.9843
Curvelet,Athena_APC_4_fennek01_005,1,0,0,0.2998,1,9.0318
TopHat_disk_L5,Athena_APC_4_fennek01_005,1,0,0,0.3504,1,9.0001
Propuesta_Novedosa,Athena_APC_4_fennek01_005,0,0,0,0.0000,0,9.5127
VIS,Athena_heather_IR_hei_vis_g,0,0,0,0.0000,0,12.5773
IR,Athena_heather_IR_hei_vis_g,0,0,0,0.0000,0,8.9860
Promedio,Athena_heather_IR_hei_vis_g,0,0,0,0.0000,0,8.5702
PiramideLaplace,Athena_heather_IR_hei_vis_g,0,0,0,0.0000,0,8.0004
Curvelet,Athena_heather_IR_hei_vis_g,1,0,0,0.2594,1,8.0159
TopHat_disk_L5,Athena_heather_IR_hei_vis_g,0,0,0,0.0000,0,6.9995
Propuesta_Novedosa,Athena_heather_IR_hei_vis_g,0,0,0,0.0000,0,8.0245
VIS,Athena_heather_hei_vis,0,0,0,0.0000,0,13.9980
IR,Athena_heather_hei_vis,0,0,0,0.0000,0,9.6271
Promedio,Athena_heather_hei_vis,0,0,0,0.0000,0,6.9993
PiramideLaplace,Athena_heather_hei_vis,0,0,0,0.0000,0,8.2560
Curvelet,Athena_heather_hei_vis,0,0,0,0.0000,0,6.5060
TopHat_disk_L5,Athena_heather_hei_vis,0,0,0,0.0000,0,8.2839
Propuesta_Novedosa,Athena_heather_hei_vis,0,0,0,0.0000,0,7.9999
VIS,Athena_helicopter_helib_011,0,0,0,0.0000,0,37.7045
IR,Athena_helicopter_helib_011,1,0,0,0.7145,1,7.0038
Promedio,Athena_helicopter_helib_011,0,0,0,0.0000,0,7.0009
PiramideLaplace,Athena_helicopter_helib_011,1,0,0,0.6211,1,7.5097
Curvelet,Athena_helicopter_helib_011,1,0,0,0.3601,1,7.5128
TopHat_disk_L5,Athena_helicopter_helib_011,1,0,0,0.5880,1,7.0040
Propuesta_Novedosa,Athena_helicopter_helib_011,1,0,0,0.4901,1,7.0004
VIS,Athena_lake_lake,0,0,0,0.0000,0,8.9934
IR,Athena_lake_lake,0,0,0,0.0000,0,7.5116
Promedio,Athena_lake_lake,0,0,0,0.0000,0,7.2289
PiramideLaplace,Athena_lake_lake,0,0,0,0.0000,0,8.2464
Curvelet,Athena_lake_lake,0,0,0,0.0000,0,8.5058
TopHat_disk_L5,Athena_lake_lake,0,0,0,0.0000,0,7.0717
Propuesta_Novedosa,Athena_lake_lake,0,0,0,0.0000,0,8.0006
VIS,Athena_man_in_doorway_maninhuis,1,0,0,0.2976,1,8.9982
IR,Athena_man_in_doorway_maninhuis,1,1,0,0.2872,1,10.2596
Promedio,Athena_man_in_doorway_maninhuis,0,0,0,0.0000,0,7.9975
PiramideLaplace,Athena_man_in_doorway_maninhuis,0,0,0,0.0000,0,8.0030
Curvelet,Athena_man_in_doorway_maninhuis,0,0,0,0.0000,0,9.5086
TopHat_disk_L5,Athena_man_in_doorway_maninhuis,0,0,0,0.0000,0,12.0773
Propuesta_Novedosa,Athena_man_in_doorway_maninhuis,0,0,0,0.0000,0,8.0028
VIS,Athena_soldier_behind_smoke_1_meting012-1200,0,0,0,0.0000,0,9.2952
IR,Athena_soldier_behind_smoke_1_meting012-1200,1,0,0,0.3148,1,8.5068
Promedio,Athena_soldier_behind_smoke_1_meting012-1200,0,0,0,0.0000,0,6.5830
PiramideLaplace,Athena_soldier_behind_smoke_1_meting012-1200,0,0,0,0.0000,0,8.9593
Curvelet,Athena_soldier_behind_smoke_1_meting012-1200,0,0,0,0.0000,0,7.0002
TopHat_disk_L5,Athena_soldier_behind_smoke_1_meting012-1200,0,0,0,0.0000,0,8.4374
Propuesta_Novedosa,Athena_soldier_behind_smoke_1_meting012-1200,0,0,0,0.0000,0,7.9997
VIS,Athena_soldier_behind_smoke_2_meting012-1500,0,0,0,0.0000,0,8.9908
IR,Athena_soldier_behind_smoke_2_meting012-1500,0,0,0,0.0000,0,8.0011
Promedio,Athena_soldier_behind_smoke_2_meting012-1500,0,0,0,0.0000,0,7.4925
PiramideLaplace,Athena_soldier_behind_smoke_2_meting012-1500,0,0,0,0.0000,0,7.0014
Curvelet,Athena_soldier_behind_smoke_2_meting012-1500,1,1,0,0.2931,1,8.0044
TopHat_disk_L5,Athena_soldier_behind_smoke_2_meting012-1500,0,0,0,0.0000,0,9.5077
Propuesta_Novedosa,Athena_soldier_behind_smoke_2_meting012-1500,0,0,0,0.0000,0,7.2038
VIS,Athena_soldier_behind_smoke_3_meting012-1700,0,0,0,0.0000,0,12.9983
IR,Athena_soldier_behind_smoke_3_meting012-1700,0,0,0,0.0000,0,16.0022
Promedio,Athena_soldier_behind_smoke_3_meting012-1700,0,0,0,0.0000,0,15.2538
PiramideLaplace,Athena_soldier_behind_smoke_3_meting012-1700,0,0,0,0.0000,0,17.5056
Curvelet,Athena_soldier_behind_smoke_3_meting012-1700,0,0,0,0.0000,0,21.0152
TopHat_disk_L5,Athena_soldier_behind_smoke_3_meting012-1700,0,0,0,0.0000,0,11.5361
Propuesta_Novedosa,Athena_soldier_behind_smoke_3_meting012-1700,0,0,0,0.0000,0,22.4888
VIS,Athena_soldier_in_trench_1_meting016,0,0,0,0.0000,0,9.0687
IR,Athena_soldier_in_trench_1_meting016,1,1,0,0.8354,1,9.0666
Promedio,Athena_soldier_in_trench_1_meting016,1,1,0,0.8142,1,10.3471
PiramideLaplace,Athena_soldier_in_trench_1_meting016,1,1,0,0.8118,1,8.0252
Curvelet,Athena_soldier_in_trench_1_meting016,1,1,0,0.8271,1,11.0991
TopHat_disk_L5,Athena_soldier_in_trench_1_meting016,1,1,0,0.8099,1,9.0001
Propuesta_Novedosa,Athena_soldier_in_trench_1_meting016,1,1,0,0.8035,1,10.0000
VIS,Athena_soldier_in_trench_2_meting055,0,0,0,0.0000,0,8.9993
IR,Athena_soldier_in_trench_2_meting055,0,0,0,0.0000,0,9.4845
Promedio,Athena_soldier_in_trench_2_meting055,1,1,0,0.3276,1,10.0031
PiramideLaplace,Athena_soldier_in_trench_2_meting055,0,0,0,0.0000,0,7.8335
Curvelet,Athena_soldier_in_trench_2_meting055,0,0,0,0.0000,0,9.0330
TopHat_disk_L5,Athena_soldier_in_trench_2_meting055,1,1,0,0.3899,1,7.5741
Propuesta_Novedosa,Athena_soldier_in_trench_2_meting055,1,1,0,0.3343,1,10.0708
VIS,Triclobs_Bosnia_R,0,0,0,0.0000,0,9.0036
IR,Triclobs_Bosnia_R,1,0,1,0.5694,1,8.0009
Promedio,Triclobs_Bosnia_R,0,0,0,0.0000,0,6.9997
PiramideLaplace,Triclobs_Bosnia_R,0,0,0,0.0000,0,8.9998
Curvelet,Triclobs_Bosnia_R,0,0,0,0.0000,0,7.3173
TopHat_disk_L5,Triclobs_Bosnia_R,0,0,0,0.0000,0,9.9998
Propuesta_Novedosa,Triclobs_Bosnia_R,0,0,0,0.0000,0,8.4317
VIS,Triclobs_jeep_in_smoke_R,0,0,0,0.0000,0,7.9870
IR,Triclobs_jeep_in_smoke_R,1,0,1,0.7628,1,9.9995
Promedio,Triclobs_jeep_in_smoke_R,1,1,0,0.3520,1,11.5304
PiramideLaplace,Triclobs_jeep_in_smoke_R,0,0,0,0.0000,0,6.9985
Curvelet,Triclobs_jeep_in_smoke_R,0,0,0,0.0000,0,8.9996
TopHat_disk_L5,Triclobs_jeep_in_smoke_R,1,1,0,0.2976,1,8.0009
Propuesta_Novedosa,Triclobs_jeep_in_smoke_R,1,1,0,0.3658,1,8.0016
