n,Tmax,evaluaciones,r_opt,m_opt,F_opt,segundos
2,10,20,14,0.0500,1.9686,9
2,20,40,1,0.1117,1.9086,42
2,30,60,25,0.0500,1.9748,159
2,40,80,1,0.1116,1.9086,32
2,50,100,2,0.0913,1.9287,36
4,10,40,19,0.0500,1.9723,19
4,20,80,25,0.0703,1.9843,78
4,30,120,10,0.0714,1.9728,149
4,40,160,25,0.0500,1.9748,127
4,50,200,1,0.1116,1.9086,65
6,10,60,4,0.0952,1.9464,21
6,20,120,16,0.0702,1.9799,47
6,30,180,25,0.0696,1.9843,140
6,40,240,25,0.0500,1.9748,382
6,50,300,25,0.0500,1.9748,386
8,10,80,25,0.0500,1.9748,70
8,20,160,1,0.1116,1.9086,52
8,30,240,25,0.0696,1.9843,208
8,40,320,24,0.0699,1.9839,532
8,50,400,25,0.0500,1.9748,840
10,10,100,20,0.0681,1.9822,76
10,20,200,25,0.0500,1.9748,186
10,30,300,25,0.0703,1.9843,845
10,40,400,25,0.0703,1.9843,589
10,50,500,25,0.0703,1.9843,450